0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39
0,0,3.1416,0.17054,0,0,3.1416,-0.55238,0,0,3.1416,0.50253,0,0,3.1416,-0.48981,0,0,3.1416,0.011914,0,0,3.1416,0.39815,0,0,3.1416,0.78181,0,0,3.1416,0.91858,0,0,3.1416,0.094431,0,0,3.1416,-0.72275
-0.011309,-0.21449,3.1531,0.066598,0.030093,0.57587,3.101,-0.27583,-0.030323,-0.57748,3.177,0.22388,0.026509,0.50745,3.1055,-0.24618,-0.002225,-0.04109,3.1417,-0.0085256,-0.024345,-0.46335,3.1695,0.17442,-0.046322,-0.88289,3.1972,0.35626,-0.054158,-1.0325,3.207,0.42115,-0.0069506,-0.1313,3.1476,0.030556,0.039854,0.7622,3.0887,-0.35658
-0.040766,-0.36495,3.1561,-0.0018393,0.11037,1.0074,3.0835,-0.085668,-0.11018,-0.99516,3.1895,0.036686,0.097287,0.8886,3.0898,-0.078364,-0.0076074,-0.063844,3.1402,-0.020186,-0.08835,-0.79703,3.179,0.024546,-0.16857,-1.5256,3.2175,0.069526,-0.19719,-1.7856,3.2313,0.085853,-0.024856,-0.22047,3.1485,-0.01065,0.146,1.331,3.0664,-0.1057
-0.082546,-0.46281,3.1536,-0.043955,0.22756,1.3178,3.0816,0.039257,-0.22497,-1.2806,3.1867,-0.082147,0.20071,1.1635,3.0879,0.032141,-0.014513,-0.072191,3.1378,-0.025632,-0.18018,-1.0233,3.1763,-0.070213,-0.34483,-1.9695,3.2145,-0.11375,-0.40358,-2.3072,3.2282,-0.12898,-0.049905,-0.2754,3.1461,-0.035162,0.30068,1.7381,3.0647,0.058497
-0.13191,-0.51825,3.148,-0.06701,0.37058,1.5281,3.0898,0.11587,-0.3627,-1.4583,3.1746,-0.15096,0.32707,1.3507,3.0948,0.10009,-0.021678,-0.069505,3.1352,-0.026815,-0.29012,-1.1626,3.1662,-0.12459,-0.55703,-2.2505,3.1973,-0.22141,-0.65231,-2.6392,3.2084,-0.25576,-0.079021,-0.30295,3.1418,-0.047721,0.48914,2.0113,3.076,0.15878
-0.18508,-0.54027,3.1407,-0.076587,0.5304,1.6564,3.1037,0.15746,-0.51371,-1.5494,3.1577,-0.18412,0.46842,1.466,3.1069,0.1372,-0.028141,-0.058617,3.1326,-0.025233,-0.41035,-1.2319,3.1523,-0.15031,-0.79054,-2.4005,3.1721,-0.27459,-0.92634,-2.8186,3.1792,-0.31883,-0.10978,-0.30916,3.1368,-0.051948,0.69931,2.1758,3.0949,0.21261
-0.2391,-0.53643,3.1329,-0.077074,0.69969,1.7196,3.1204,0.17415,-0.67032,-1.5728,3.1387,-0.19247,0.61834,1.5239,3.1215,0.15239,-0.033205,-0.041872,3.1302,-0.021976,-0.53468,-1.2467,3.1368,-0.15617,-1.0337,-2.4474,3.1436,-0.28976,-1.212,-2.8773,3.1461,-0.33758,-0.14031,-0.29913,3.1316,-0.050634,0.92141,2.2534,3.1174,0.23348
-0.29172,-0.5132,3.1254,-0.07168,0.87262,1.7316,3.138,0.17393,-0.82655,-1.5444,3.1197,-0.18451,0.77171,1.5368,3.1369,0.15262,-0.036385,-0.021175,3.1282,-0.017835,-0.65831,-1.2199,3.1215,-0.14899,-1.2774,-2.4149,3.115,-0.27978,-1.4987,-2.843,3.1127,-0.32659,-0.16921,-0.27711,3.1268,-0.045849,1.1477,2.2629,3.1408,0.23209
-0.34128,-0.47588,3.1187,-0.062812,1.0447,1.7043,3.1549,0.16281,-0.9779,-1.4774,3.1021,-0.16647,0.92454,1.5151,3.1517,0.14322,-0.037359,0.0019478,3.1266,-0.013378,-0.77762,-1.1622,3.1073,-0.13385,-1.5147,-2.323,3.0882,-0.25399,-1.7783,-2.7391,3.0814,-0.29705,-0.19546,-0.2466,3.1225,-0.039089,1.3723,2.2206,3.1634,0.21624
-0.38657,-0.4288,3.1129,-0.052217,1.2125,1.6479,3.1703,0.14513,-1.1211,-1.3827,3.0866,-0.14287,1.0739,1.4676,3.1654,0.128,-0.035954,0.026312,3.1255,-0.008964,-0.89002,-1.0825,3.0949,-0.11433,-1.7406,-2.1884,3.0644,-0.21957,-2.0448,-2.5848,3.0536,-0.25738,-0.21834,-0.21043,3.119,-0.031464,1.5906,2.1398,3.1838,0.19194
